mcs_index,base_graph,code_block_size,sinr_db,bler,source_classification
4,1,4096,0.53,1.0,LINK_LEVEL_SIMULATION
4,1,4096,1.2475,0.9990385,LINK_LEVEL_SIMULATION
4,1,4096,1.73,0.4936275,LINK_LEVEL_SIMULATION
4,1,4096,1.965,0.0659,LINK_LEVEL_SIMULATION
4,1,4096,2.2,0.0018,LINK_LEVEL_SIMULATION
4,1,4096,2.6825,0.0,LINK_LEVEL_SIMULATION
5,1,4096,1.6,1.0,LINK_LEVEL_SIMULATION
5,1,4096,2.31,0.9498175,LINK_LEVEL_SIMULATION
5,1,4096,2.67,0.2741848,LINK_LEVEL_SIMULATION
5,1,4096,3.03,0.003,LINK_LEVEL_SIMULATION
5,1,4096,3.74,0.0,LINK_LEVEL_SIMULATION
6,1,4096,2.75,0.9990385,LINK_LEVEL_SIMULATION
6,1,4096,3.1875,0.6552835,LINK_LEVEL_SIMULATION
6,1,4096,3.625,0.0133,LINK_LEVEL_SIMULATION
6,1,4096,4.0625,0.0,LINK_LEVEL_SIMULATION
