metric,value,classification
workflow_run_id,34033702695,REPRODUCIBILITY_METADATA
workflow_run_number,2,REPRODUCIBILITY_METADATA
head_commit,2fda9e428fddaac8408a1dce20989d8f58055a61,REPRODUCIBILITY_METADATA
merge_commit,b2328d7e995ef258e27bb9f9f8f55bfe018e1e2e,REPRODUCIBILITY_METADATA
artifact_id,9989459870,REPRODUCIBILITY_METADATA
artifact_sha256,90f8b22742d92f125a7f3f51571dc70437e6ae035f0de6cb9627c477fa105d14,REPRODUCIBILITY_METADATA
uav1,UavY_P0A10S6_1,MEASURED_DATASET
uav1_takeoff,2024/11/21 13:50,MEASURED_DATASET_METADATA
uav2,UavR_P0A40VarS8_1,MEASURED_DATASET
uav2_takeoff,2024/11/21 13:46,MEASURED_DATASET_METADATA
samples,1831,DERIVED_FROM_MEASURED_DATASET
overlap_duration_s,366.000087,DERIVED_FROM_MEASURED_DATASET
horizontal_separation_min_m,2.057230,DERIVED_FROM_MEASURED_DATASET
horizontal_separation_mean_m,43.865579,DERIVED_FROM_MEASURED_DATASET
horizontal_separation_max_m,127.751559,DERIVED_FROM_MEASURED_DATASET
coordinate_frame,COMMON_ENU_WGS84_HORIZONTAL_ONLY,DERIVED_FROM_MEASURED_DATASET
distance_dimension,2D_HORIZONTAL,DERIVED_FROM_MEASURED_DATASET
rf_metrics_generated,false,SCIENTIFIC_NONCLAIM
3d_distance_generated,false,SCIENTIFIC_NONCLAIM
raw_dataset_vendored,false,REPRODUCIBILITY_POLICY
