name,classification,returncode,status
measured_a2a_baseline,MEASUREMENT_DERIVED_PROPAGATION,0,success
channel_comparison,DERIVED_MODEL_COMPARISON,0,success
density_measurement_based,SYNTHETIC_GEOMETRY_WITH_MEASUREMENT_DERIVED_CHANNEL,0,success
scaling_geometry_activity,SYNTHETIC_PLUS_EXPERIMENTAL_SWEEP,0,success
scaling_law_analysis,DESCRIPTIVE_STATISTICAL_FIT,0,success
resource_allocation_study,THIS_WORK_SYSTEM_LEVEL_ABSTRACTION,0,success
routing_study,THIS_WORK_PLUS_LINK_LEVEL_SIMULATION_DERIVED,0,success
beamforming_sensitivity,DIRECTIONAL_GAIN_SENSITIVITY,0,success
ula_directionality,PHYSICAL_ARRAY_FACTOR_MODEL,0,success
robustness_sensitivity,STANDARD_MIXED_WITH_EXPERIMENTAL_SWEEP,0,success
nr_link_performance,STANDARD_PLUS_LINK_LEVEL_SIMULATION_DERIVED,0,success
harq_tbs_latency,STANDARD_PLUS_DERIVED_HARQ_ABSTRACTION,0,success
sidelink_overhead_sensitivity,EXPERIMENTAL_CONFIGURATION_SWEEP,0,success
traffic_load,EXPERIMENTAL_TRAFFIC_PLUS_LINK_LEVEL_SIMULATION_DERIVED,0,success
failure_analysis,DERIVED_FAILURE_DIAGNOSTIC,0,success
spatial_diagnostics,DERIVED_SPATIAL_DIAGNOSTIC,0,success
ablation,CROSS_LAYER_SYSTEM_LEVEL_ABLATION,0,success
paired_effect_analysis,DERIVED_STATISTICAL_COMPARISON,0,success
